candidate_id,rank,score,reasoning
CAND_0061339,35,327.5907,"Search Engineer with 4.2 years of experience; relevant skills include Information Retrieval, YOLO, Data Pipelines, Milvus, BentoML. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0060072,36,326.6373,"Staff Machine Learning Engineer with 5.7 years of experience; relevant skills include Deep Learning, Sentence Transformers, PyTorch, Feature Engineering, Milvus. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0020877,37,325.1527,"Applied ML Engineer with 5.1 years of experience; relevant skills include QLoRA, Kubeflow, YOLO, Elasticsearch, PyTorch. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0068351,38,325.0233,"Lead AI Engineer with 6.4 years of experience; relevant skills include pgvector, Deep Learning, Qdrant, Elasticsearch, Feature Engineering. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0077285,39,324.7893,"Recommendation Systems Engineer with 5.5 years of experience; relevant skills include OpenCV, Excel, LoRA, Reinforcement Learning, Pinecone. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0051630,40,323.5073,"Machine Learning Engineer with 6.0 years of experience; relevant skills include Elasticsearch, Hugging Face Transformers, BentoML, MLflow, Embeddings. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0044222,41,321.9673,"AI Engineer with 7.7 years of experience; relevant skills include Vector Search, LlamaIndex, OpenSearch, Java, Qdrant. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0055992,42,318.8047,"AI Engineer with 16.9 years of experience; relevant skills include Information Retrieval, MLflow, FAISS, RAG, Feature Engineering. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0066999,43,318.7727,"Recommendation Systems Engineer with 5.9 years of experience; relevant skills include Image Classification, OpenSearch, JavaScript, FAISS, LLMs. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0074225,44,317.7133,"Machine Learning Engineer with 4.3 years of experience; relevant skills include Apache Beam, Statistical Modeling, Recommendation Systems, Semantic Search, ASR. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0008425,45,317.6893,"Senior NLP Engineer with 7.8 years of experience; relevant skills include Learning to Rank, Qdrant, Weights & Biases, pgvector, Sentence Transformers. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0041669,46,317.2633,"Recommendation Systems Engineer with 8.0 years of experience; relevant skills include FAISS, Milvus, PEFT, Diffusion Models, MLflow. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0092245,47,317.166,"Senior Data Scientist with 4.1 years of experience; relevant skills include LlamaIndex, Forecasting, Embeddings, Statistical Modeling, Kafka. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0070398,48,316.7907,"Machine Learning Engineer with 7.2 years of experience; relevant skills include Image Classification, Data Science, BM25, RAG, FAISS. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0049538,49,316.212,"Applied ML Engineer with 5.8 years of experience; relevant skills include LlamaIndex, Feature Engineering, MLflow, Computer Vision, TTS. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0030953,50,315.5593,"Search Engineer with 7.8 years of experience; relevant skills include TTS, MLOps, Learning to Rank, Databricks, Time Series. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0022812,51,315.384,"Applied ML Engineer with 4.5 years of experience; relevant skills include Weaviate, Pinecone, LoRA, Prompt Engineering, Qdrant. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0043228,52,314.594,"Applied ML Engineer with 6.8 years of experience; relevant skills include BigQuery, NLP, ASR, Hugging Face Transformers, FastAPI. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0099806,53,314.338,"AI Engineer with 4.6 years of experience; relevant skills include LoRA, OpenCV, Statistical Modeling, RAG, Agile. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0045250,54,312.0873,"Applied ML Engineer with 6.6 years of experience; relevant skills include Sentence Transformers, Milvus, LoRA, Embeddings, NLP. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0093912,55,312.064,"Senior Data Scientist with 5.3 years of experience; relevant skills include Feature Engineering, SAP, CNN, Milvus, Embeddings. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0026532,56,311.088,"Recommendation Systems Engineer with 4.8 years of experience; relevant skills include Prompt Engineering, Time Series, pgvector, TTS, LoRA. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0072660,57,310.99,"Machine Learning Engineer with 7.1 years of experience; relevant skills include Feature Engineering, LoRA, pgvector, PyTorch, Kubeflow. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0005260,58,310.1273,"Senior NLP Engineer with 5.2 years of experience; relevant skills include Statistical Modeling, MLOps, Snowflake, Prompt Engineering, Information Retrieval. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0074735,59,309.6053,"Applied ML Engineer with 5.5 years of experience; relevant skills include YOLO, RAG, Prompt Engineering, LlamaIndex, Machine Learning. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0075574,60,309.2007,"Machine Learning Engineer with 5.7 years of experience; relevant skills include Hugging Face Transformers, pgvector, Weaviate, Recommendation Systems, OpenSearch. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0099401,61,308.4533,"NLP Engineer with 7.7 years of experience; relevant skills include BM25, Embeddings, ASR, Deep Learning, Qdrant. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0050876,62,307.9073,"Applied ML Engineer with 6.0 years of experience; relevant skills include SQL, Qdrant, MLOps, FAISS, scikit-learn. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0006418,63,307.5333,"Machine Learning Engineer with 5.7 years of experience; relevant skills include Kubernetes, gRPC, Semantic Search, Embeddings, TensorFlow. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0066376,64,307.274,"Applied ML Engineer with 5.7 years of experience; relevant skills include Recommendation Systems, LoRA, Learning to Rank, LLMs, Fine-tuning LLMs. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0042029,65,307.2267,"Senior Data Scientist with 6.5 years of experience; relevant skills include YOLO, PyTorch, NLP, RAG, Haystack. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0089552,66,306.0747,"Machine Learning Engineer with 6.0 years of experience; relevant skills include Weaviate, Image Classification, TensorFlow, Qdrant, Semantic Search. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0015528,67,305.3233,"Applied ML Engineer with 7.4 years of experience; relevant skills include Docker, Weaviate, BentoML, Weights & Biases, LangChain. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0052682,68,304.942,"NLP Engineer with 6.6 years of experience; relevant skills include Statistical Modeling, QLoRA, Semantic Search, FAISS, PyTorch. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0036437,69,304.792,"Search Engineer with 4.8 years of experience; relevant skills include Go, Kubeflow, OpenSearch, Elasticsearch, Feature Engineering. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0012957,70,304.2733,"Search Engineer with 4.9 years of experience; relevant skills include RAG, PEFT, LangChain, ASR, Deep Learning. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0007411,71,304.0553,"Senior Machine Learning Engineer with 8.0 years of experience; relevant skills include OpenSearch, Prompt Engineering, Fine-tuning LLMs, Vector Search, Data Science. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0061655,72,303.9727,"Machine Learning Engineer with 4.6 years of experience; relevant skills include Haystack, PEFT, Pinecone, Time Series, Machine Learning. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0093547,73,303.8613,"Senior Machine Learning Engineer with 2.9 years of experience; relevant skills include LLMs, RAG, Python, QLoRA, Kubeflow. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0081053,74,303.3473,"NLP Engineer with 5.4 years of experience; relevant skills include LoRA, QLoRA, Qdrant, Diffusion Models, Machine Learning. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0065195,75,302.472,"Search Engineer with 5.1 years of experience; relevant skills include LLMs, BentoML, QLoRA, scikit-learn, Diffusion Models. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0001610,76,302.1,"Machine Learning Engineer with 3.0 years of experience; relevant skills include Speech Recognition, Haystack, Deep Learning, Kubeflow, Pinecone. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0030031,77,301.9493,"AI Engineer with 5.7 years of experience; relevant skills include Information Retrieval, PyTorch, Object Detection, Python, NLP. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0016163,78,300.8733,"Applied ML Engineer with 6.7 years of experience; relevant skills include Hugging Face Transformers, Computer Vision, gRPC, Time Series, Weaviate. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0039838,79,300.2993,"Recommendation Systems Engineer with 4.9 years of experience; relevant skills include MLOps, Computer Vision, Embeddings, Semantic Search, LangChain. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0041568,80,300.0587,"Search Engineer with 5.2 years of experience; relevant skills include PEFT, Weaviate, Angular, Feature Engineering, GANs. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0080766,81,300.01,"Staff Machine Learning Engineer with 8.8 years of experience; relevant skills include Search Backend, LoRA, Vue.js, Tally, Search & Discovery. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0079387,82,299.556,"AI Engineer with 6.9 years of experience; relevant skills include scikit-learn, Recommendation Systems, Python, Time Series, Sentence Transformers. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0020708,83,299.402,"Search Engineer with 4.2 years of experience; relevant skills include Tally, NLP, Data Science, Statistical Modeling, scikit-learn. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0075249,84,298.428,"Applied ML Engineer with 6.2 years of experience; relevant skills include Sentence Transformers, Milvus, Machine Learning, Fine-tuning LLMs, MLflow. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0039383,85,298.3533,"Applied ML Engineer with 7.1 years of experience; relevant skills include GANs, FAISS, ASR, Kubeflow, Recommendation Systems. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0014440,86,297.5307,"Recommendation Systems Engineer with 6.4 years of experience; relevant skills include Elasticsearch, Diffusion Models, Milvus, Machine Learning, Feature Engineering. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0030348,87,297.4007,"Machine Learning Engineer with 4.5 years of experience; relevant skills include LlamaIndex, Deep Learning, TTS, MLOps, PyTorch. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0013393,88,296.666,"ML Engineer with 5.3 years of experience; relevant skills include Excel, Embeddings, MLflow, Pinecone, Qdrant. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0065878,89,295.7973,"Senior Data Scientist with 7.8 years of experience; relevant skills include scikit-learn, RAG, Computer Vision, pgvector, QLoRA. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0011432,90,295.5207,"Senior Data Scientist with 7.6 years of experience; relevant skills include Haystack, MLOps, Time Series, Data Science, OpenSearch. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0009024,91,294.8993,"Search Engineer with 5.2 years of experience; relevant skills include YOLO, Qdrant, dbt, CSS, PEFT. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0091909,92,293.8167,"Machine Learning Engineer with 6.9 years of experience; relevant skills include LLMs, Image Classification, Pinecone, Diffusion Models, QLoRA. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0067866,93,293.6667,"Senior Software Engineer (ML) with 6.4 years of experience; relevant skills include Embeddings, Illustrator, pgvector, Elasticsearch, LoRA. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0098454,94,293.6393,"AI Specialist with 6.6 years of experience; relevant skills include Vector Search, MLOps, Feature Engineering, NLP, Statistical Modeling. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0034400,95,293.592,"ML Engineer with 3.8 years of experience; relevant skills include Qdrant, Forecasting, Object Detection, Milvus, Information Retrieval. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0007009,96,292.8073,"Recommendation Systems Engineer with 7.9 years of experience; relevant skills include Statistical Modeling, ETL, Weaviate, Python, Embeddings. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0094056,97,292.1807,"NLP Engineer with 5.9 years of experience; relevant skills include MLflow, Pinecone, Milvus, Forecasting, Data Science. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0041610,98,292.1153,"Recommendation Systems Engineer with 6.7 years of experience; relevant skills include OpenCV, LoRA, Statistical Modeling, Data Science, Elasticsearch. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0032515,99,292.1133,"Machine Learning Engineer with 5.1 years of experience; relevant skills include MLflow, Milvus, Vector Search, QLoRA, Fine-tuning LLMs. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0005269,100,291.662,"Senior Software Engineer (ML) with 6.1 years of experience; relevant skills include Information Retrieval, Machine Learning, Object Detection, YOLO, Airflow. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
